name,cuisine,ingredients,instructions,prep_time,cook_time,servings,calories,protein,carbs,fat,fiber,sugar,sodium,description,ingredients_list,ingredient_count,protein_calories,carb_calories,fat_calories,protein_ratio,carb_ratio,fat_ratio,difficulty,diet_tags,recipe_tags,diet_vegan,diet_vegetarian,diet_gluten_free,diet_dairy_free,diet_low_carb,diet_high_protein
Mediterranean Quinoa Salad,mediterranean,"quinoa, cucumber, tomatoes, red onion, feta cheese, olive oil, lemon juice, oregano, salt, pepper","Cook quinoa according to package instructions. Let cool. Dice cucumber, tomatoes, and red onion. Crumble feta cheese. Mix all ingredients with olive oil, lemon juice, oregano, salt, and pepper.",15 min,15 min,4,320,12,45,12,6,8,450,A fresh and healthy Mediterranean salad perfect for lunch or as a side dish.,"['quinoa', 'cucumber', 'tomatoes', 'red onion', 'feta cheese', 'olive oil', 'lemon juice', 'oregano', 'salt', 'pepper']",10,48,180,108,0.14285714285714285,0.5357142857142857,0.32142857142857145,1,"['vegetarian', 'gluten_free']","['good-fiber', 'quick', 'lunch', 'moderate-calorie', 'good-protein', 'easy']",False,True,True,False,False,False
Grilled Chicken with Steamed Broccoli,american,"chicken breast, broccoli, olive oil, garlic, lemon, salt, pepper, herbs","Season chicken with salt, pepper, and herbs. Grill for 6-8 minutes per side. Steam broccoli until tender. Serve with lemon and olive oil drizzle.",10 min,20 min,2,280,35,8,12,4,3,320,"A simple, high-protein meal perfect for maintaining a healthy diet.","['chicken breast', 'broccoli', 'olive oil', 'garlic', 'lemon', 'salt', 'pepper', 'herbs']",8,140,32,108,0.5,0.11428571428571428,0.38571428571428573,1,"['gluten_free', 'dairy_free', 'low_carb', 'high_protein']","['grilled', 'steamed', 'high-protein', 'moderate-calorie', 'easy', 'fast']",False,False,True,True,True,True
Vegetarian Black Bean Tacos,mexican,"black beans, corn tortillas, avocado, lime, cilantro, red onion, tomato, lettuce, cumin, chili powder","Heat black beans with cumin and chili powder. Warm tortillas. Dice avocado, tomato, and onion. Assemble tacos with beans, vegetables, and cilantro. Serve with lime.",15 min,10 min,3,245,10,40,8,12,5,380,Delicious plant-based tacos packed with protein and fiber.,"['black beans', 'corn tortillas', 'avocado', 'lime', 'cilantro', 'red onion', 'tomato', 'lettuce', 'cumin', 'chili powder']",10,40,160,72,0.14705882352941177,0.5882352941176471,0.2647058823529412,1,"['vegan', 'vegetarian', 'gluten_free', 'dairy_free']","['high-fiber', 'quick', 'moderate-calorie', 'good-protein', 'easy']",True,True,True,True,False,False
Asian Stir-Fry with Tofu,asian,"firm tofu, mixed vegetables, soy sauce, ginger, garlic, sesame oil, brown rice, green onions","Press and cube tofu. Stir-fry tofu until golden. Add vegetables, garlic, and ginger. Add soy sauce and sesame oil. Serve over brown rice with green onions.",15 min,15 min,2,310,18,35,14,6,8,600,A flavorful and nutritious Asian-inspired dish with plant-based protein.,"['firm tofu', 'mixed vegetables', 'soy sauce', 'ginger', 'garlic', 'sesame oil', 'brown rice', 'green onions']",8,72,140,126,0.21301775147928995,0.41420118343195267,0.3727810650887574,1,"['vegan', 'vegetarian', 'gluten_free', 'dairy_free']","['good-fiber', 'fried', 'quick', 'moderate-calorie', 'good-protein', 'easy']",True,True,True,True,False,False
Heart-Healthy Salmon with Sweet Potato,american,"salmon fillet, sweet potato, spinach, olive oil, lemon, dill, garlic, salt, pepper","Roast sweet potato cubes with olive oil. Season salmon with dill, salt, and pepper. Bake salmon for 12-15 minutes. Sauté spinach with garlic. Serve together with lemon.",10 min,25 min,2,420,32,25,22,5,8,280,"Omega-3 rich salmon with nutritious sweet potato, perfect for heart health.","['salmon fillet', 'sweet potato', 'spinach', 'olive oil', 'lemon', 'dill', 'garlic', 'salt', 'pepper']",9,128,100,198,0.3004694835680751,0.2347417840375587,0.4647887323943662,1,"['gluten_free', 'dairy_free', 'high_protein']","['good-fiber', 'baked', 'high-protein', 'high-fat', 'easy', 'fast']",False,False,True,True,False,True
Low-Carb Zucchini Noodles with Pesto,italian,"zucchini, basil pesto, cherry tomatoes, pine nuts, parmesan cheese, olive oil","Spiralize zucchini into noodles. Sauté lightly in olive oil. Toss with pesto. Top with halved cherry tomatoes, pine nuts, and parmesan cheese.",10 min,5 min,2,180,8,12,14,4,8,320,"A light, low-carb alternative to pasta that doesnt compromise on flavor.","['zucchini', 'basil pesto', 'cherry tomatoes', 'pine nuts', 'parmesan cheese', 'olive oil']",6,32,48,126,0.1553398058252427,0.23300970873786409,0.6116504854368932,1,"['vegetarian', 'gluten_free', 'low_carb']","['low-calorie', 'easy', 'quick']",False,True,True,False,True,False
Diabetes-Friendly Lentil Soup,mediterranean,"red lentils, vegetable broth, onion, carrots, celery, garlic, turmeric, cumin, spinach, lemon juice","Sauté onion, carrots, and celery. Add garlic and spices. Add lentils and broth. Simmer until lentils are tender. Stir in spinach and lemon juice.",15 min,30 min,4,220,14,35,3,15,6,480,"A fiber-rich, low-glycemic soup perfect for managing blood sugar levels.","['red lentils', 'vegetable broth', 'onion', 'carrots', 'celery', 'garlic', 'turmeric', 'cumin', 'spinach', 'lemon juice']",10,56,140,27,0.25112107623318386,0.6278026905829597,0.1210762331838565,2,"['vegan', 'vegetarian', 'gluten_free', 'dairy_free']","['high-fiber', 'boiled', 'low-fat', 'lunch', 'moderate-calorie', 'good-protein', 'easy', 'fast']",True,True,True,True,False,False
High-Protein Greek Yogurt Bowl,mediterranean,"Greek yogurt, berries, almonds, honey, chia seeds, granola","Layer Greek yogurt in a bowl. Top with fresh berries, chopped almonds, chia seeds, and a small amount of granola. Drizzle with honey.",5 min,0 min,1,350,25,35,15,8,22,100,A protein-packed breakfast or snack that supports muscle health and satiety.,"['greek yogurt', 'berries', 'almonds', 'honey', 'chia seeds', 'granola']",6,100,140,135,0.26666666666666666,0.37333333333333335,0.36,1,"['vegetarian', 'gluten_free', 'high_protein']","['good-fiber', 'quick', 'high-protein', 'high-fat', 'moderate-calorie', 'easy', 'low-sodium']",False,True,True,False,False,True
Low-Sodium Herb-Crusted Chicken,american,"chicken breast, fresh herbs, lemon zest, garlic, olive oil, black pepper, paprika","Mix herbs, lemon zest, garlic, and olive oil. Coat chicken with herb mixture. Bake at 375F for 20-25 minutes until cooked through.",10 min,25 min,3,240,30,2,12,1,1,150,"Flavorful chicken with minimal sodium, perfect for heart-healthy diets.","['chicken breast', 'herbs', 'lemon zest', 'garlic', 'olive oil', 'black pepper', 'paprika']",7,120,8,108,0.5084745762711864,0.03389830508474576,0.4576271186440678,1,"['gluten_free', 'dairy_free', 'low_carb', 'high_protein']","['baked', 'high-protein', 'fast', 'moderate-calorie', 'easy', 'low-sodium']",False,False,True,True,True,True
Vegan Buddha Bowl,asian,"quinoa, chickpeas, kale, sweet potato, avocado, tahini, lemon juice, maple syrup, sesame seeds",Roast sweet potato and chickpeas. Cook quinoa. Massage kale with lemon. Make tahini dressing with lemon and maple syrup. Assemble bowl and top with sesame seeds.,20 min,30 min,2,480,18,65,18,14,12,290,A complete plant-based meal with all essential nutrients and vibrant flavors.,"['quinoa', 'chickpeas', 'kale', 'sweet potato', 'avocado', 'tahini', 'lemon juice', 'maple syrup', 'sesame seeds']",9,72,260,162,0.145748987854251,0.5263157894736842,0.32793522267206476,2,"['vegan', 'vegetarian', 'gluten_free', 'dairy_free']","['high-fiber', 'high-fat', 'good-protein', 'easy', 'fast']",True,True,True,True,False,False
